koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec
1,1.0,0,0,0,0.192,48.5,3713.0,4.779,294.77393,43.056301
1,1.0,0,0,0,0.014,31.0,3713.0,4.779,294.77393,43.056301
1,0.986,0,0,0,0.228,18.2,3713.0,4.779,294.77393,43.056301
1,1.0,0,0,0,0.712,50.4,5849.0,4.517,295.65149,43.029831
2,0.0,0,1,0,0.908,147.4,5472.0,4.499,297.97513,43.164909
1,0.999,0,0,0,0.069,388.2,5332.0,4.5,291.1376,36.577381
1,1.0,0,0,0,0.018,435.9,6214.0,4.442,282.69952,43.272739
1,1.0,0,0,0,0.862,71.9,6063.0,4.47,283.63077,43.379398
1,0.635,0,0,0,0.075,915.7,6823.0,4.308,297.45374,41.01099
0,1.0,0,0,0,0.811,210.5,3950.0,4.721,285.16748,43.876339
0,0.966,0,0,0,0.658,182.1,3960.0,4.746,287.85239,43.897991
1,1.0,0,0,0,0.344,431.4,5865.0,4.563,295.53613,43.884449
1,1.0,0,0,0,0.69,42.6,4500.0,4.656,285.16833,44.026459
1,0.997,0,0,0,0.063,25.4,4500.0,4.656,285.16833,44.026459
1,0.415,0,0,0,0.008,60.2,5869.0,4.024,292.92914,48.60281
2,0.228,0,1,0,0.028,85.8,5600.0,4.368,296.41019,43.455391
1,1.0,0,0,0,0.043,123.8,5191.0,4.564,293.0614,43.58136
1,1.0,0,0,0,0.03,86.2,5191.0,4.564,293.0614,43.58136
1,1.0,0,0,0,0.437,1072.1,5855.0,4.393,299.56189,43.503559
1,1.0,0,0,0,0.09,58.0,3906.0,4.73,282.23251,43.66563
1,1.0,0,0,0,0.351,41.4,3906.0,4.73,282.23251,43.66563
1,1.0,0,0,0,0.02,114.9,5945.0,4.213,290.39273,40.28487
1,1.0,0,0,0,0.886,36.9,3906.0,4.73,282.23251,43.66563
1,0.999,0,0,0,0.334,44.4,3561.0,4.855,296.98505,43.65852
1,0.999,0,0,0,0.001,37.8,3561.0,4.855,296.98505,43.65852
1,0.998,0,0,0,0.115,30.9,3561.0,4.855,296.98505,43.65852
0,1.0,0,0,0,0.791,46.2,5942.0,4.327,281.96063,43.70311
1,1.0,0,0,0,0.93,36.4,6077.0,4.471,290.26328,44.55645
1,0.999,0,0,0,0.964,15.4,6077.0,4.471,290.26328,44.55645
1,1.0,0,0,0,0.21,64.5,4201.0,4.682,295.57935,44.545959
1,1.0,0,0,0,0.644,14.2,4201.0,4.682,295.57935,44.545959
1,0.997,0,0,0,0.093,1669.1,5655.0,4.581,284.83047,44.658138
0,1.0,0,0,0,0.649,48.1,5662.0,4.61,288.72665,44.60751
1,1.0,0,0,0,0.045,21.6,4500.0,4.656,285.16833,44.026459
1,1.0,0,0,0,0.649,28.1,4500.0,4.656,285.16833,44.026459
1,0.996,0,0,0,0.714,21.4,4500.0,4.656,285.16833,44.026459
2,0.0,0,0,1,0.949,119.4,5865.0,4.563,296.50754,44.036072
1,1.0,0,0,0,0.45,47.7,5029.0,4.494,289.59476,44.141949
1,1.0,0,0,0,0.653,23.8,5029.0,4.494,289.59476,44.141949
1,0.957,0,0,0,0.093,12.9,5029.0,4.494,289.59476,44.141949
1,1.0,0,0,0,0.395,55.9,5527.0,4.488,296.56622,44.105862
1,1.0,0,0,0,0.839,44.8,5527.0,4.488,296.56622,44.105862
1,1.0,0,0,0,0.11,21.2,5527.0,4.488,296.56622,44.105862
1,1.0,0,0,0,0.125,63.1,5869.0,4.024,292.92914,48.60281
1,1.0,0,0,0,0.028,22.7,5527.0,4.488,296.56622,44.105862
1,1.0,0,0,0,0.061,633.4,5560.0,4.246,298.63565,44.17094
2,0.0,0,0,1,9.303,54.5,4187.0,4.656,298.67862,44.175499
1,1.0,0,0,0,0.314,77.4,5198.0,4.589,284.43051,44.48053
0,1.0,0,0,0,0.095,69.2,5569.0,4.566,284.75943,45.599129
1,1.0,0,0,0,0.535,502.3,6123.0,4.413,285.55481,45.578861
2,0.0,0,1,1,1.252,203.5,5525.0,4.603,293.68494,45.51683
1,0.999,0,0,0,0.348,1173.9,6033.0,4.46,296.39316,45.568562
2,0.0,0,0,1,0.864,90.1,5936.0,4.501,296.39542,45.56992
1,0.92,0,1,0,0.003,1077.8,5510.0,4.539,288.90222,49.370491
2,0.0,0,1,0,0.408,1667.3,6140.0,4.354,282.30603,44.714661
1,1.0,0,0,0,0.799,123.5,5609.0,4.481,293.45483,44.792789
2,0.0,0,1,0,0.985,45.4,5931.0,4.479,301.04956,44.706299
1,0.996,0,0,0,0.062,690.3,5231.0,4.455,283.97751,44.811562
