kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
7204073,K06847.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,1,0.566801906,1.7990000e-06,-1.7990000e-06,131.7967300,2.330000e-03,-2.330000e-03,0.1550,0.3220,-0.1550,1.62600,0.09360,-0.09360,8.9700e+01,4.200e+00,-4.200e+00,0.55,4.000e-02,-6.000e-02,1344.0,,,774.11,221.37,-231.01,27.00,2,q1_q17_dr25_tce,4208.00,113.00,-138.00,4.662,0.059,-0.023,0.5830,0.0440,-0.0610,292.959260,42.799252,12.663
7212722,K06848.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.316171991,1.1100000e-07,-1.1100000e-07,132.3116360,3.950000e-05,-3.950000e-05,0.7000,0.0130,-0.0120,4.03025,0.00119,-0.00119,2.5148e+05,3.470e+01,-3.470e+01,49.53,1.283e+01,-3.430e+00,1288.0,,,651.03,482.78,-151.34,2338.30,1,q1_q17_dr25_tce,5932.00,141.00,-177.00,4.580,0.033,-0.176,0.7950,0.2060,-0.0550,295.375150,42.753780,13.969
7217088,K06849.01,,CANDIDATE,CANDIDATE,0.9970,0,0,0,0,12.544742430,5.6340000e-05,-5.6340000e-05,139.5830400,3.720000e-03,-3.720000e-03,0.1850,0.2670,-0.1850,1.24000,0.12800,-0.12800,2.6310e+02,3.030e+01,-3.030e+01,1.88,3.000e-01,-2.500e-01,840.0,,,117.90,50.40,-34.11,10.80,1,q1_q17_dr25_tce,5767.00,78.00,-78.00,4.316,0.126,-0.115,1.1590,0.1890,-0.1550,296.395480,42.780140,15.082
7280953,K06850.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,0,1,0.566802080,,,131.7056000,,,,,,1.22000,,,,,,,,,,,,392.81,125.87,-148.40,,1,q1_q17_dr25_tce,,,,,,,,,,291.453130,42.851227,13.072
7281217,K06851.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,1,0.566810701,3.0910000e-06,-3.0910000e-06,131.8076100,4.920000e-03,-4.920000e-03,0.9820,0.0140,-0.0110,6.19000,0.30800,-0.30800,2.0000e+02,1.120e+01,-1.120e+01,1.49,3.000e-01,-1.200e-01,1921.0,,,3220.92,1980.29,-832.78,45.90,1,q1_q17_dr25_tce,5593.00,167.00,-167.00,4.584,0.051,-0.119,0.7520,0.1490,-0.0640,291.528690,42.866970,15.644
7281229,K06852.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,0.566813319,4.7800000e-06,-4.7800000e-06,131.7876800,8.000000e-03,-8.000000e-03,1.1960,0.1970,-0.2090,3.75200,0.57000,-0.57000,1.2910e+02,1.210e+01,-1.210e+01,23.19,6.790e+00,-2.930e+00,2313.0,,,6742.52,6027.69,-2345.27,17.00,1,q1_q17_dr25_tce,6108.00,193.00,-236.00,4.466,0.052,-0.208,1.0300,0.3020,-0.1300,291.533110,42.838470,15.972
8143170,K06976.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,28.787257509,9.7720000e-06,-9.7720000e-06,137.0941920,2.760000e-04,-2.760000e-04,0.5590,0.0030,-0.0040,13.95300,0.01850,-0.01850,4.9618e+04,4.640e+01,-4.640e+01,91.26,1.653e+01,-3.069e+01,971.0,,,210.02,108.30,-130.10,1292.00,1,q1_q17_dr25_tce,5154.00,108.00,-185.00,3.461,0.222,-0.148,3.9810,0.7210,-1.3390,281.089480,44.057941,12.850
8145789,K06977.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.835315046,6.7000000e-08,-6.7000000e-08,131.9570817,6.720000e-05,-6.720000e-05,1.2240,0.0350,-0.0360,2.45449,0.00169,-0.00169,1.6876e+04,9.200e+00,-9.200e+00,30.54,3.270e+00,-2.970e+00,1490.0,,,1160.98,422.13,-322.90,939.50,1,q1_q17_dr25_tce,5009.00,135.00,-150.00,4.584,0.072,-0.054,0.6900,0.0740,-0.0670,282.752410,44.048721,15.314
8145958,K06978.01,,CANDIDATE,CANDIDATE,0.9780,0,0,0,0,3.075510680,1.9150000e-05,-1.9150000e-05,134.4685700,5.360000e-03,-5.360000e-03,0.0050,0.4650,-0.0050,1.68300,0.17500,-0.17500,4.6100e+01,5.900e+00,-5.900e+00,0.84,1.300e-01,-1.400e-01,1389.0,,,879.95,371.75,-293.44,10.10,1,q1_q17_dr25_tce,5763.00,78.00,-78.00,4.256,0.143,-0.117,1.2420,0.2000,-0.2000,282.841030,44.049728,13.359
8155584,K06979.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,26.016422500,1.7200000e-04,-1.7200000e-04,157.3776900,9.300000e-03,-9.300000e-03,1.1470,0.2100,-0.0910,4.17680,0.01500,-0.01500,4.1109e+04,1.590e+02,-1.590e+02,61.04,1.779e+01,-1.454e+01,755.0,,,76.63,68.05,-38.63,285.40,1,q1_q17_dr25_tce,6287.00,198.00,-242.00,4.231,0.190,-0.171,1.2800,0.3730,-0.3050,287.905550,44.010860,15.032
8155654,K06980.01,,CANDIDATE,CANDIDATE,0.9430,0,0,0,0,6.293405430,9.8260000e-05,-9.8260000e-05,133.8686000,1.290000e-02,-1.290000e-02,0.4310,0.0320,-0.4310,3.02400,0.41300,-0.41300,9.6400e+01,1.390e+01,-1.390e+01,1.08,3.800e-01,-1.100e-01,1072.0,,,312.61,327.36,-91.29,8.70,1,q1_q17_dr25_tce,6214.00,167.00,-223.00,4.442,0.056,-0.224,1.0760,0.3840,-0.1020,287.941650,44.008018,15.186
8158324,K06981.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,593.195210000,4.5970000e-02,-4.5970000e-02,333.7320000,1.010000e-01,-1.010000e-01,0.6192,0.0779,-0.4432,25.65000,5.50000,-5.50000,2.2730e+02,5.630e+01,-5.630e+01,1.63,5.800e-01,-2.200e-01,234.0,,,0.71,0.75,-0.23,7.10,1,q1_q17_dr24_tce,6103.00,163.00,-186.00,4.391,0.096,-0.096,1.0300,0.3710,-0.1350,289.187870,44.006969,14.733
8162376,K06982.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,0.706430188,4.9250000e-06,-4.9250000e-06,132.1420800,6.940000e-03,-6.940000e-03,0.2880,0.1790,-0.2880,1.30100,0.14600,-0.14600,5.0800e+01,5.900e+00,-5.900e+00,0.41,2.000e-02,-3.000e-02,1473.0,,,1116.90,277.43,-254.27,11.00,1,q1_q17_dr25_tce,5037.00,152.00,-167.00,4.689,0.052,-0.024,0.5680,0.0300,-0.0340,290.590760,44.002579,14.001
8167504,K06983.01,,CANDIDATE,CANDIDATE,0.9900,0,0,0,0,7.702172900,1.3120000e-04,-1.3120000e-04,138.4181000,1.220000e-02,-1.220000e-02,0.5090,0.0420,-0.4430,3.98700,0.41400,-0.41400,7.4600e+01,9.800e+00,-9.800e+00,0.85,1.200e-01,-6.000e-02,888.0,,,147.24,52.62,-27.22,9.50,1,q1_q17_dr25_tce,5618.00,76.00,-76.00,4.449,0.068,-0.110,0.9690,0.1300,-0.0700,292.463780,44.090111,14.320
8953281,K07112.01,,FALSE POSITIVE,FALSE POSITIVE,0.1670,0,1,0,0,0.784300610,3.9370000e-05,-3.9370000e-05,132.2316400,7.730000e-03,-7.730000e-03,0.6590,0.0240,-0.5420,2.95200,0.24200,-0.24200,2.5470e+02,1.670e+01,-1.670e+01,1.14,1.400e-01,-1.100e-01,1566.0,,,1416.91,577.85,-392.84,20.50,1,q1_q17_dr25_tce,5176.00,154.00,-154.00,4.589,0.077,-0.063,0.6810,0.0810,-0.0660,291.930630,45.220020,15.156
